(2020-12-01 20:40:44,707) [START] Task-0_M3 Started Execution
(2020-12-01 23:55:36,960) [FINISH] TASK 186_R0 Finished execution. Total duration - 2002.214
(2020-12-01 23:55:37,097) [FINISH] TASK 183_R0 Finished execution. Total duration - 4003.532
(2020-12-01 23:55:37,657) [START] Task-187_R1 Started Execution
(2020-12-01 23:55:38,703) [START] Task-191_M0 Started Execution
(2020-12-01 23:55:38,887) [START] Task-189_R1 Started Execution
(2020-12-01 23:55:39,704) [FINISH] TASK 191_M0 Finished execution. Total duration - 1001.154
(2020-12-01 23:55:39,745) [START] Task-192_M2 Started Execution
(2020-12-01 23:55:39,865) [START] Task-193_M0 Started Execution
(2020-12-01 23:55:39,888) [FINISH] TASK 189_R1 Finished execution. Total duration - 1000.366
(2020-12-01 23:55:40,389) [START] Task-194_M0 Started Execution
(2020-12-01 23:55:40,391) [START] Task-194_M2 Started Execution
(2020-12-01 23:55:40,660) [FINISH] TASK 187_R1 Finished execution. Total duration - 3003.166
(2020-12-01 23:55:40,662) [START] Task-195_M1 Started Execution
(2020-12-01 23:55:40,866) [FINISH] TASK 193_M0 Finished execution. Total duration - 1001.172
(2020-12-01 23:55:40,867) [START] Task-196_M1 Started Execution
(2020-12-01 23:55:41,868) [FINISH] TASK 196_M1 Finished execution. Total duration - 1000.997
(2020-12-01 23:55:42,308) [START] Task-197_M1 Started Execution
(2020-12-01 23:55:42,392) [FINISH] TASK 194_M0 Finished execution. Total duration - 2002.306
(2020-12-01 23:55:42,393) [START] Task-197_M2 Started Execution
(2020-12-01 23:55:42,664) [FINISH] TASK 195_M1 Finished execution. Total duration - 2001.689
(2020-12-01 23:55:42,718) [START] Task-191_R0 Started Execution
(2020-12-01 23:55:43,395) [FINISH] TASK 194_M2 Finished execution. Total duration - 3003.540
(2020-12-01 23:55:43,750) [FINISH] TASK 192_M2 Finished execution. Total duration - 4003.893
(2020-12-01 23:55:43,762) [START] Task-192_R0 Started Execution
(2020-12-01 23:55:44,014) [START] Task-198_M1 Started Execution
(2020-12-01 23:55:44,310) [FINISH] TASK 197_M1 Finished execution. Total duration - 2001.902
(2020-12-01 23:55:45,765) [FINISH] TASK 192_R0 Finished execution. Total duration - 2002.341
(2020-12-01 23:55:46,016) [FINISH] TASK 198_M1 Finished execution. Total duration - 2002.135
(2020-12-01 23:55:46,038) [START] Task-198_R0 Started Execution
(2020-12-01 23:55:46,397) [FINISH] TASK 197_M2 Finished execution. Total duration - 4004.093
(2020-12-01 23:55:46,410) [START] Task-197_R1 Started Execution
(2020-12-01 23:55:46,721) [FINISH] TASK 191_R0 Finished execution. Total duration - 4003.379
(2020-12-01 23:55:49,040) [FINISH] TASK 198_R0 Finished execution. Total duration - 3001.976
(2020-12-01 23:55:49,412) [FINISH] TASK 197_R1 Finished execution. Total duration - 3001.763
(2020-12-01 23:57:43,011) [START] Task-0_M0 Started Execution
(2020-12-01 23:57:43,285) [START] Task-1_M0 Started Execution
(2020-12-01 23:57:43,608) [START] Task-2_M0 Started Execution
(2020-12-01 23:57:44,013) [START] Task-3_M2 Started Execution
(2020-12-01 23:57:44,780) [START] Task-4_M1 Started Execution
(2020-12-01 23:57:45,014) [FINISH] TASK 3_M2 Finished execution. Total duration - 1001.150
(2020-12-01 23:57:45,053) [START] Task-5_M1 Started Execution
(2020-12-01 23:57:45,610) [FINISH] TASK 2_M0 Finished execution. Total duration - 2002.145
(2020-12-01 23:57:45,622) [START] Task-2_R0 Started Execution
(2020-12-01 23:57:46,288) [FINISH] TASK 1_M0 Finished execution. Total duration - 3002.815
(2020-12-01 23:57:46,782) [FINISH] TASK 4_M1 Finished execution. Total duration - 2001.591
(2020-12-01 23:57:46,814) [START] Task-4_R0 Started Execution
(2020-12-01 23:57:46,896) [START] Task-7_R1 Started Execution
(2020-12-01 23:57:47,016) [FINISH] TASK 0_M0 Finished execution. Total duration - 4003.684
(2020-12-01 23:57:47,029) [START] Task-8_M1 Started Execution
(2020-12-01 23:57:47,624) [FINISH] TASK 2_R0 Finished execution. Total duration - 2002.275
(2020-12-01 23:57:47,898) [FINISH] TASK 7_R1 Finished execution. Total duration - 1000.942
(2020-12-01 23:57:48,055) [START] Task-3_R1 Started Execution
(2020-12-01 23:57:49,058) [FINISH] TASK 5_M1 Finished execution. Total duration - 4004.220
(2020-12-01 23:57:49,350) [START] Task-6_R0 Started Execution
(2020-12-01 23:57:49,652) [START] Task-9_M1 Started Execution
(2020-12-01 23:57:50,057) [FINISH] TASK 3_R1 Finished execution. Total duration - 2001.819
(2020-12-01 23:57:50,653) [FINISH] TASK 9_M1 Finished execution. Total duration - 1001.184
(2020-12-01 23:57:50,665) [START] Task-10_M1 Started Execution
(2020-12-01 23:57:50,818) [FINISH] TASK 4_R0 Finished execution. Total duration - 4003.881
(2020-12-01 23:57:51,032) [FINISH] TASK 8_M1 Finished execution. Total duration - 4003.292
(2020-12-01 23:57:51,133) [START] Task-11_M1 Started Execution
(2020-12-01 23:57:53,136) [FINISH] TASK 11_M1 Finished execution. Total duration - 2002.225
(2020-12-01 23:57:53,354) [FINISH] TASK 6_R0 Finished execution. Total duration - 4004.196
(2020-12-01 23:57:53,665) [START] Task-9_R0 Started Execution
(2020-12-01 23:57:54,354) [START] Task-14_M1 Started Execution
(2020-12-01 23:57:54,668) [FINISH] TASK 10_M1 Finished execution. Total duration - 4002.911
(2020-12-01 23:57:54,679) [START] Task-10_R1 Started Execution
(2020-12-01 23:57:55,667) [FINISH] TASK 9_R0 Finished execution. Total duration - 2001.610
(2020-12-01 23:57:55,813) [START] Task-12_R1 Started Execution
(2020-12-01 23:57:56,767) [START] Task-16_M0 Started Execution
(2020-12-01 23:57:56,768) [START] Task-16_M2 Started Execution
(2020-12-01 23:57:57,769) [FINISH] TASK 16_M2 Finished execution. Total duration - 1001.211
(2020-12-01 23:57:58,357) [FINISH] TASK 14_M1 Finished execution. Total duration - 4003.236
(2020-12-01 23:57:58,683) [FINISH] TASK 10_R1 Finished execution. Total duration - 4003.499
(2020-12-01 23:57:58,816) [FINISH] TASK 12_R1 Finished execution. Total duration - 3002.412
(2020-12-01 23:57:59,530) [START] Task-15_R0 Started Execution
(2020-12-01 23:58:00,770) [FINISH] TASK 16_M0 Finished execution. Total duration - 4003.439
(2020-12-01 23:58:02,529) [START] Task-17_M1 Started Execution
(2020-12-01 23:58:06,533) [FINISH] TASK 17_M1 Finished execution. Total duration - 4004.143
(2020-12-01 23:58:14,814) [START] Task-0_R0 Started Execution
(2020-12-01 23:58:14,814) [START] Task-0_R1 Started Execution
(2020-12-01 23:58:15,039) [START] Task-2_R0 Started Execution
(2020-12-01 23:58:15,040) [START] Task-2_R1 Started Execution
(2020-12-01 23:58:15,815) [FINISH] TASK 0_R1 Finished execution. Total duration - 1000.626
(2020-12-01 23:58:15,880) [START] Task-1_R0 Started Execution
(2020-12-01 23:58:15,881) [START] Task-1_R1 Started Execution
(2020-12-01 23:58:16,160) [START] Task-4_M0 Started Execution
(2020-12-01 23:58:16,881) [FINISH] TASK 1_R1 Finished execution. Total duration - 1000.380
(2020-12-01 23:58:17,041) [FINISH] TASK 2_R0 Finished execution. Total duration - 2001.906
(2020-12-01 23:58:17,042) [FINISH] TASK 2_R1 Finished execution. Total duration - 2002.185
(2020-12-01 23:58:17,817) [FINISH] TASK 0_R0 Finished execution. Total duration - 3003.127
(2020-12-01 23:58:17,985) [START] Task-5_M0 Started Execution
(2020-12-01 23:58:17,986) [START] Task-5_M1 Started Execution
(2020-12-01 23:58:17,986) [START] Task-5_M2 Started Execution
(2020-12-01 23:58:18,883) [FINISH] TASK 1_R0 Finished execution. Total duration - 3002.303
(2020-12-01 23:58:19,163) [FINISH] TASK 4_M0 Finished execution. Total duration - 3003.216
(2020-12-01 23:58:19,988) [FINISH] TASK 5_M2 Finished execution. Total duration - 2001.470
(2020-12-01 23:58:20,762) [START] Task-4_R0 Started Execution
(2020-12-01 23:58:20,762) [START] Task-4_R1 Started Execution
(2020-12-01 23:58:21,433) [START] Task-7_M0 Started Execution
(2020-12-01 23:58:21,435) [START] Task-7_M1 Started Execution
(2020-12-01 23:58:21,763) [FINISH] TASK 4_R0 Finished execution. Total duration - 1001.297
(2020-12-01 23:58:21,989) [FINISH] TASK 5_M0 Finished execution. Total duration - 4003.018
(2020-12-01 23:58:21,990) [FINISH] TASK 5_M1 Finished execution. Total duration - 4003.282
(2020-12-01 23:58:22,025) [START] Task-5_R0 Started Execution
(2020-12-01 23:58:22,026) [START] Task-5_R1 Started Execution
(2020-12-01 23:58:23,027) [FINISH] TASK 5_R1 Finished execution. Total duration - 1000.644
(2020-12-01 23:58:23,436) [FINISH] TASK 7_M0 Finished execution. Total duration - 2002.236
(2020-12-01 23:58:23,437) [FINISH] TASK 7_M1 Finished execution. Total duration - 2001.544
(2020-12-01 23:58:23,473) [START] Task-7_R0 Started Execution
(2020-12-01 23:58:23,765) [FINISH] TASK 4_R1 Finished execution. Total duration - 3003.054
(2020-12-01 23:58:24,028) [FINISH] TASK 5_R0 Finished execution. Total duration - 2002.158
(2020-12-01 23:58:24,123) [START] Task-9_M0 Started Execution
(2020-12-01 23:58:24,123) [START] Task-9_M1 Started Execution
(2020-12-01 23:58:24,124) [START] Task-9_M2 Started Execution
(2020-12-01 23:58:24,475) [FINISH] TASK 7_R0 Finished execution. Total duration - 1001.257
(2020-12-01 23:58:25,125) [FINISH] TASK 9_M2 Finished execution. Total duration - 1001.163
(2020-12-01 23:58:26,125) [FINISH] TASK 9_M0 Finished execution. Total duration - 2001.870
(2020-12-01 23:58:26,286) [START] Task-11_M0 Started Execution
(2020-12-01 23:58:26,659) [START] Task-13_M2 Started Execution
(2020-12-01 23:58:26,660) [START] Task-8_R0 Started Execution
(2020-12-01 23:58:27,660) [FINISH] TASK 13_M2 Finished execution. Total duration - 1000.595
(2020-12-01 23:58:27,660) [FINISH] TASK 8_R0 Finished execution. Total duration - 1000.635
(2020-12-01 23:58:28,128) [FINISH] TASK 9_M1 Finished execution. Total duration - 4004.050
(2020-12-01 23:58:28,139) [START] Task-9_R0 Started Execution
(2020-12-01 23:58:28,288) [FINISH] TASK 11_M0 Finished execution. Total duration - 2001.303
(2020-12-01 23:58:28,299) [START] Task-11_R0 Started Execution
(2020-12-01 23:58:28,358) [START] Task-14_M0 Started Execution
(2020-12-01 23:58:28,359) [START] Task-14_M1 Started Execution
(2020-12-01 23:58:28,359) [START] Task-14_M2 Started Execution
(2020-12-01 23:58:30,301) [FINISH] TASK 11_R0 Finished execution. Total duration - 2002.158
(2020-12-01 23:58:30,361) [FINISH] TASK 14_M2 Finished execution. Total duration - 2001.704
(2020-12-01 23:58:30,403) [START] Task-15_M0 Started Execution
(2020-12-01 23:58:30,404) [START] Task-15_M1 Started Execution
(2020-12-01 23:58:31,142) [FINISH] TASK 9_R0 Finished execution. Total duration - 3003.217
(2020-12-01 23:58:31,362) [FINISH] TASK 14_M1 Finished execution. Total duration - 3003.189
(2020-12-01 23:58:32,362) [FINISH] TASK 14_M0 Finished execution. Total duration - 4003.564
(2020-12-01 23:58:34,407) [FINISH] TASK 15_M0 Finished execution. Total duration - 4003.495
(2020-12-01 23:58:34,408) [FINISH] TASK 15_M1 Finished execution. Total duration - 4003.580
(2020-12-01 23:58:34,444) [START] Task-15_R0 Started Execution
(2020-12-01 23:58:34,444) [START] Task-15_R1 Started Execution
(2020-12-01 23:58:35,008) [START] Task-19_M0 Started Execution
(2020-12-01 23:58:35,008) [START] Task-19_M1 Started Execution
(2020-12-01 23:58:36,010) [FINISH] TASK 19_M0 Finished execution. Total duration - 1001.232
(2020-12-01 23:58:37,011) [FINISH] TASK 19_M1 Finished execution. Total duration - 2002.222
(2020-12-01 23:58:37,022) [START] Task-19_R0 Started Execution
(2020-12-01 23:58:37,447) [FINISH] TASK 15_R1 Finished execution. Total duration - 3002.659
(2020-12-01 23:58:38,024) [FINISH] TASK 19_R0 Finished execution. Total duration - 1001.256
(2020-12-01 23:58:38,448) [FINISH] TASK 15_R0 Finished execution. Total duration - 4003.513
(2020-12-02 00:06:19,875) [START] Task-1_M0 Started Execution
(2020-12-02 00:06:19,986) [START] Task-2_M0 Started Execution
(2020-12-02 00:06:19,986) [START] Task-2_M2 Started Execution
(2020-12-02 00:06:21,880) [START] Task-5_M1 Started Execution
(2020-12-02 00:06:22,782) [START] Task-6_M0 Started Execution
(2020-12-02 00:06:22,877) [FINISH] TASK 1_M0 Finished execution. Total duration - 3002.371
(2020-12-02 00:06:22,989) [FINISH] TASK 2_M0 Finished execution. Total duration - 3002.327
(2020-12-02 00:06:23,547) [START] Task-4_R0 Started Execution
(2020-12-02 00:06:23,758) [START] Task-0_R1 Started Execution
(2020-12-02 00:06:23,990) [FINISH] TASK 2_M2 Finished execution. Total duration - 4002.836
(2020-12-02 00:06:24,179) [START] Task-7_M1 Started Execution
(2020-12-02 00:06:25,549) [FINISH] TASK 4_R0 Finished execution. Total duration - 2001.504
(2020-12-02 00:06:25,662) [START] Task-8_M1 Started Execution
(2020-12-02 00:06:25,884) [FINISH] TASK 5_M1 Finished execution. Total duration - 4003.746
(2020-12-02 00:06:25,895) [START] Task-5_R0 Started Execution
(2020-12-02 00:06:26,787) [FINISH] TASK 6_M0 Finished execution. Total duration - 4004.609
(2020-12-02 00:06:27,139) [START] Task-9_M2 Started Execution
(2020-12-02 00:06:27,181) [FINISH] TASK 7_M1 Finished execution. Total duration - 3001.562
(2020-12-02 00:06:27,763) [FINISH] TASK 0_R1 Finished execution. Total duration - 4004.038
(2020-12-02 00:06:28,144) [START] Task-10_M0 Started Execution
(2020-12-02 00:06:28,150) [START] Task-12_M0 Started Execution
(2020-12-02 00:06:28,898) [FINISH] TASK 5_R0 Finished execution. Total duration - 3003.297
(2020-12-02 00:06:29,666) [FINISH] TASK 8_M1 Finished execution. Total duration - 4003.643
(2020-12-02 00:06:29,672) [START] Task-8_R0 Started Execution
(2020-12-02 00:06:30,143) [FINISH] TASK 9_M2 Finished execution. Total duration - 3003.395
(2020-12-02 00:06:31,081) [START] Task-14_M0 Started Execution
(2020-12-02 00:06:31,082) [START] Task-14_M2 Started Execution
(2020-12-02 00:06:31,153) [FINISH] TASK 12_M0 Finished execution. Total duration - 3002.805
(2020-12-02 00:06:31,159) [START] Task-12_R0 Started Execution
(2020-12-02 00:06:31,674) [FINISH] TASK 8_R0 Finished execution. Total duration - 2002.280
(2020-12-02 00:06:32,148) [FINISH] TASK 10_M0 Finished execution. Total duration - 4003.670
(2020-12-02 00:06:32,154) [START] Task-10_R0 Started Execution
(2020-12-02 00:06:32,160) [FINISH] TASK 12_R0 Finished execution. Total duration - 1000.833
(2020-12-02 00:06:32,188) [START] Task-13_R1 Started Execution
(2020-12-02 00:06:34,084) [FINISH] TASK 14_M2 Finished execution. Total duration - 3001.894
(2020-12-02 00:06:34,190) [FINISH] TASK 13_R1 Finished execution. Total duration - 2002.216
(2020-12-02 00:06:34,555) [START] Task-16_M0 Started Execution
(2020-12-02 00:06:34,556) [START] Task-16_M2 Started Execution
(2020-12-02 00:06:35,086) [FINISH] TASK 14_M0 Finished execution. Total duration - 4004.490
(2020-12-02 00:06:35,123) [START] Task-14_R0 Started Execution
(2020-12-02 00:06:35,157) [FINISH] TASK 10_R0 Finished execution. Total duration - 3002.999
(2020-12-02 00:06:35,527) [START] Task-19_M0 Started Execution
(2020-12-02 00:06:36,028) [START] Task-15_R1 Started Execution
(2020-12-02 00:06:36,557) [FINISH] TASK 16_M0 Finished execution. Total duration - 2001.880
(2020-12-02 00:06:38,030) [FINISH] TASK 15_R1 Finished execution. Total duration - 2002.288
(2020-12-02 00:06:38,126) [FINISH] TASK 14_R0 Finished execution. Total duration - 3003.152
(2020-12-02 00:06:38,530) [FINISH] TASK 19_M0 Finished execution. Total duration - 3002.826
(2020-12-02 00:06:38,562) [FINISH] TASK 16_M2 Finished execution. Total duration - 4005.455
(2020-12-02 00:06:38,593) [START] Task-16_R0 Started Execution
(2020-12-02 00:06:39,543) [START] Task-19_R0 Started Execution
(2020-12-02 00:06:41,545) [FINISH] TASK 19_R0 Finished execution. Total duration - 2001.207
(2020-12-02 00:06:42,598) [FINISH] TASK 16_R0 Finished execution. Total duration - 4003.940
